tdmb_id,idmb_id,title,budget,revenue
2016, tt0444182, Days of Glory,14500000,0
2017, tt0292610, No Good Deed,12000000,121
2018, tt0209475, The Wedding Planner,35000000,1185783
2019, tt0107076, Hard Target,18000000,114
2020, tt0120596, The Bachelor,51000000,0
2022, tt0280590, Mr. Deeds,50000000,0
2023, tt0317648, Hidalgo,100000000,95
2024, tt0187393, The Patriot,110000000,0
2026, tt0340163, Hostage,52000000,19777647
2028, tt0098258, Say Anything...,16000000,17804565
2034, tt0139654, Training Day,45000000,0
2036, tt0078812, Avalanche Express,12,94728529
2039, tt0093565, Moonstruck,15000000,97
2042, tt0120070, Savior,10000000,218626
2043, tt0164334, Along Came a Spider,60000000,110
2044, tt0410297, The Lake House,40000000,171269535
2045, tt0118040, Unforgettable,18000000,96
2046, tt0219699, The Gift,10000000,108103450
2055, tt0316356, Open Range,22000000,20036737
2056, tt0340377, The Station Agent,500000,100
2057, tt0218922, Original Sin,42000000,24272365
2059, tt0368891, National Treasure,100000000,0
2061, tt0117407, Pusher,965000,0
2062, tt0382932, Ratatouille,150000000,105
2064, tt0114924, While You Were Sleeping,17000000,140
2065, tt0488565, Could This Be Love?,5621000,0
2067, tt0183523, Mission to Mars,90000000,104876233
2069, tt0190138, The Whole Nine Yards,41300000,0
2071, tt0102900, Shattered,22000000,0
2072, tt0112763, Cyberjack,2000000,85
2074, tt0116324, Flirting with Disaster,7000000,95
2082, tt0373883, Halloween,15000000,103
2084, tt0188453, Birthday Girl,13000000,104
2085, tt0165929, Romeo Must Die,25000000,114830111
2086, tt0113972, Nick of Time,8169363,99
2088, tt0107983, Romeo Is Bleeding,11500000,106
2089, tt0211792, Cutaway,9,12008642
2091, tt0286493, The Badge,6000000,6484246
2093, tt0094651, Amsterdamned,98003,347234916
2102, tt0100649, Solar Crisis,55000000,137
2103, tt0307479, Solaris,47000000,68296293
2105, tt0163651, American Pie,11000000,8679814
2108, tt0088847, The Breakfast Club,1000000,118
2109, tt0120812, Rush Hour,33000000,34673095
2110, tt0281364, Wasabi,15300000,100
2112, tt0120784, Payback,90000000,131
2114, tt0173840, Final Fantasy: The Spirits Within,137000000,114
2116, tt0313443, Out of Time,50000000,105
2118, tt0119488, L.A. Confidential,35000000,111
2122, tt0327247, The Whole Ten Yards,40000000,6699197
2133, tt0177971, The Perfect Storm,120000000,98
2134, tt0054387, The Time Machine,750000,0
2135, tt0268695, The Time Machine,80000000,99
2140, tt0271027, Kiss of the Dragon,25000000,124
2142, tt0118887, Cop Land,15000000,93
2148, tt0087089, The Cotton Club,58000000,24
2149, tt0106453, Body of Evidence,30000000,373062864
2155, tt0184858, Reindeer Games,42000000,70
2157, tt0120738, Lost in Space,80000000,93
2160, tt0055608, Voyage to the Bottom of the Sea,1580000,8175346
2161, tt0060397, Fantastic Voyage,5115000,90
2162, tt0163579, Chill Factor,34000000,30
2163, tt0118771, Breakdown,36000000,115
2164, tt0111282, Stargate,55000000,3275585
2165, tt0280870, Liberty Stands Still,11000000,100
2168, tt0472582, 2:37,850000,0
2171, tt0243655, Wet Hot American Summer,5000000,99
2176, tt0221218, The Glass House,30000000,3000000
2179, tt0365830, Tenacious D in The Pick of Destiny,22000000,88
2182, tt0080391, Attack of the Killer Tomatoes!,90000,0
2185, tt0246464, Big Trouble,40000000,85
2186, tt0078503, Within the Woods,1600,16209459
2191, tt0283015, Stranded,4000000,90
2196, tt0795368, Death at a Funeral,9000000,60700
2197, tt0889222, Sounds of Sand,5000000,98
2207, tt0450232, 16 Blocks,55000000,98
2210, tt0097257, Earth Girls Are Easy,10000000,0
2239, tt0466816, Hallam Foe,8000000,103
2251, tt0250797, Unfaithful,50000000,103
2252, tt0765443, Eastern Promises,51500000,123729176
2253, tt0985699, Valkyrie,75000000,96
2255, tt0118842, Chasing Amy,250000,91
2259, tt0107151, The House of the Spirits,25000000,33
2268, tt0385752, The Golden Compass,180000000,0
2269, tt0409904, Day Watch,4200000,125
2270, tt0486655, Stardust,70000000,0
2275, tt0144214, The General's Daughter,60000000,0
2277, tt0182789, Bicentennial Man,100000000,25928721
2280, tt0094737, Big,18000000,101
2288, tt0376541, Closer,27000000,0
2289, tt0159365, Cold Mountain,79000000,96
2290, tt0120716, Jakob the Liar,45000000,32168970
2291, tt0099871, Jacob's Ladder,25000000,124
2292, tt0109445, Clerks,27575,0
2293, tt0113749, Mallrats,6000000,95
2294, tt0261392, Jay and Silent Bob Strike Back,22000000,136159423
2295, tt0424345, Clerks II,5000000,130
2300, tt0117705, Space Jam,80000000,12000000
2309, tt0494238, Inkheart,60000000,96
2310, tt0442933, Beowulf,70000000,0
2320, tt0116253, Executive Decision,55000000,97
2321, tt0095593, Married to the Mob,10000000,0
2323, tt0097351, Field of Dreams,15000000,0
2324, tt0472126, Local Color,3250000,89
2330, tt0152930, Taxi,8700000,0
2331, tt0199232, Jesus,20000000,110
2332, tt0183869, Taxi 2,10500000,0
2334, tt0295721, Taxi 3,14500000,13405595
2335, tt0804540, Taxi 4,17500000,93
4011, tt0094721, Beetlejuice,15000000,73707461
4012, tt0247199, The Believer,1500000,92
4133, tt0221027, Blow,53000000,91
4157, tt0806088, Heyy Babyy,9400000,0
4170, tt0399095, Trade,12000000,26820641
4176, tt0071877, Murder on the Orient Express,1400000,0
4191, tt0061955, The Bride Wore Black,747000,90
4192, tt0077413, Death on the Nile,7920000,0
4201, tt0079152, The Fifth Musketeer,7000000,102
4226, tt0212235, Shriek If You Know What I Did Last Friday the Thirteenth,5000000,90
4229, tt0985108, The Scary Movie,30,0
4232, tt0117571, Scream,14000000,92
4241, tt0290329, Visitor Q,60400,9600000
4244, tt0219854, The Kid,65000000,140
4247, tt0175142, Scary Movie,19000000,0
4248, tt0257106, Scary Movie 2,45000000,93
4251, tt0420332, Veer-Zaara,7000000,0
4252, tt0346723, Chalte Chalte,4600000,198
4255, tt0065904, The Party at Kitty and Stud's,5000,0
4256, tt0306047, Scary Movie 3,48000000,100
4258, tt0795461, Scary Movie 5,20000000,0
4327, tt0160127, Charlie's Angels,92000000,104
4347, tt0783233, Atonement,30000000,0
4348, tt0414387, Pride & Prejudice,28000000,71
4349, tt0431197, The Kingdom,70000000,220673217
4351, tt0445935, Bordertown,21000000,178262620
4368, tt0326820, Dark Wolf,2500000,0
4373, tt0066113, My Lover, My Son,0
4379, tt0369735, Monster-in-Law,43000000,0
4380, tt0358135, Shall We Dance?,50000000,180
4407, tt0476603, The Three Investigators and The Secret Of Skeleton Island,11000000,91
4435, tt0249371, AÅ›oka,17000000,0
4478, tt0107211, Indecent Proposal,38000000,0
4484, tt0077288, La Cage aux Folles,1100000,121147947
5038, tt0497465, Vicky Cristina Barcelona,15000000,0
5040, tt0060401, Pharaoh,10000000,0
5048, tt0102722, Prospero's Books,1738125,96408652
5121, tt0072226, The Sugarland Express,3000000,35
5123, tt0426931, August Rush,25000000,96
5125, tt0804522, Rendition,27500000,97
5137, tt0346156, Sky Captain and the World of Tomorrow,70000000,90
5139, tt0756648, The Fox and the Child,13000000,94
5175, tt0266915, Rush Hour 2,90000000,12800000
5176, tt0381849, 3:10 to Yuma,55000000,110
5178, tt0808285, The Good Heart,3800000,145
5185, tt0066249, The Private Life of Sherlock Holmes,10000000,0
5203, tt0100934, Wild Orchid,7000000,94
5228, tt0075268, Stay Hungry,5000000,0
5237, tt0104155, Dust Devil,8000000,0
5255, tt0338348, The Polar Express,165000000,258022233
5263, , Ist das Licht im KÃ¼hlschrank wirklich aus?,300,0
5279, tt0280707, Gosford Park,19800000,83
5375, tt0486583, Fred Claus,100000000,0
5470, tt0120604, Beowulf,20000000,0
5491, tt0185183, Battlefield Earth,73000000,7644409
5494, tt0306892, George and the Dragon,32000000,95
6020, tt0279781, Sorority Boys,12000000,0
6023, tt0431308, P.S. I Love You,30000000,90
6038, tt0300471, Shanghai Knights,50000000,93
6058, tt0120786, The Patriot,25000000,0
6068, tt0120828, Six Days Seven Nights,70000000,94
6069, tt0094332, The Witches of Eastwick,22000000,88323487
6106, tt0091886, Salvador,4500000,98
6114, tt0103874, Bram Stoker's Dracula,40000000,147845033
6116, tt0120185, Spice World,25000000,0
6163, tt1153106, The Hessen Affair,20000000,94
6171, tt0285531, Dreamcatcher,68000000,0
6217, tt0083722, Cat People,18000000,88
6278, tt0253556, Reign of Fire,60000000,62
6279, tt0108147, Sister Act 2: Back in the Habit,38000000,0
6280, tt0110216, Junior,60000000,97
6282, tt0200550, Coyote Ugly,45000000,99
6283, tt0119715, MouseHunt,38000000,0
6312, tt0237534, Brotherhood of the Wolf,29000000,0
6346, tt0115862, The Chamber,50000000,93
6415, tt0120188, Three Kings,75000000,108431355
6435, tt0120791, Practical Magic,75000000,0
6466, tt0329101, Freddy vs. Jason,30000000,90
6470, tt0099575, Fire Birds,22000000,0
6471, tt0079367, The Jerk,4000000,89
6499, tt0120389, Turbo: A Power Rangers Movie,10000000,113
6519, tt0377818, The Dukes of Hazzard,50000000,0
6520, tt0113071, First Knight,55000000,120
6521, tt0208874, The Contender,20000000,0
6522, tt0123964, Life,80000000,104
6523, tt0054127, North to Alaska,3500000,0
6537, tt0464141, The Orphanage,3400000,0
6538, tt0472062, Charlie Wilson's War,75000000,88
6552, tt0138510, Idle Hands,25000000,0
6557, tt0988595, 27 Dresses,30000000,90
6575, tt0841046, Walk Hard: The Dewey Cox Story,35000000,0
6578, , Der Tag des Jorun,5000,90
6623, tt0119874, The Peacemaker,50000000,0
6637, tt0465234, National Treasure: Book of Secrets,130000000,0
6687, tt0800241, Transsiberian,15000000,361366633
6691, tt0482088, Priceless,10000000,585410052
6723, tt0100514, The Rookie,10000000,90
6795, tt0406375, Zathura: A Space Adventure,65000000,85
6844, tt0049833, The Ten Commandments,13000000,0
6877, tt0427229, Failure to Launch,50000000,90
6917, tt0093075, The Gate,2500000,0
6933, tt0479968, One Missed Call,20000,125
6935, tt0267129, Yamakasi,15000000,120
6936, tt0953318, Ben X,1500000,0
6950, tt0114069, Outbreak,50000000,0
6951, tt0098536, Turner & Hooch,13000000,87
7007, tt0107969, Rising Sun,40000000,0
7211, tt0480242, Dan in Real Life,25000000,89
7233, tt0376108, Rebound,45000000,108
7269, tt0086345, Space Raiders,84,0
7270, tt0325805, Matchstick Men,62000000,96
7271, tt0768206, Die Letzte Droge,50000,1297401
7288, tt0266489, Duplex,40000000,108
7290, tt0157262, 2001: A Space Travesty,26000000,91
7303, tt0252076, Maid in Manhattan,55000000,90
7304, tt0404390, Running Scared,17000000,177378645
7305, tt0106246, Alive,32000000,116
7326, tt0467406, Juno,7500000,0
7340, tt0074285, Carrie,1800000,0
7341, tt0144814, The Rage: Carrie 2,21000000,97
7345, tt0469494, There Will Be Blood,25000000,122
7347, tt0861739, Elite Squad,4000000,99
7348, tt0058530, Robinson Crusoe on Mars,1200000,0
7350, tt0825232, The Bucket List,45000000,0
7351, tt0903627, Julia,6000000,92
8005, tt0107977, Robin Hood: Men in Tights,20000000,35739755
8009, tt0091203, Highlander,16000000,106
8010, tt0102034, Highlander II: The Quickening,30000000,0
8011, tt0110027, Highlander III: The Sorcerer,26000000,101
8012, tt0113161, Get Shorty,30250000,12885193
8014, tt0392883, Valley of Flowers,6000000,15556340
8054, tt1054606, The Imaginarium of Doctor Parnassus,30000000,0
8055, tt0976051, The Reader,32000000,95
8056, tt0170705, Train of Life,154790,0
8060, tt0804505, Married Life,12000000,7266209
8063, tt0067315, The Red Tent,10000000,105
8064, tt1132474, Chiko,1500000,0
8065, tt0478087,21,35000000,94
8066, tt0371257, Stay,50000000,0
8067, tt0119535, A Life Less Ordinary,12000000,96
8069, tt0062711, Barbarella,9000000,24665649
8072, tt0058898, Alphaville,220000,102
8073, tt0057869, Band of Outsiders,120000,12036149
8077, tt0103644, AlienÂ³,50000000,108902486
8078, tt0118583, Alien Resurrection,70000000,124
8079, tt1024943, Om Shanti Om,9100000,3311162
8080, tt0324127, Suspect Zero,27000000,103
8088, tt0913425, Broken Embraces,18000000,0
8090, tt0880578, Untraceable,35000000,0
8095, tt0056937, Cleopatra,44000000,92
8198, tt0258068, The Quiet American,30000000,3748295
8202, tt0402022, Ã†on Flux,62000000,93
8204, tt0416236, The Spiderwick Chronicles,90000000,88
8265, tt1064932, Welcome to the Sticks,11000000,88
8270, tt0427470, The Lookout,16000000,53321673
8271, tt0486822, Disturbia,20000000,93
8273, tt0328828, American Wedding,55000000,164170327
8274, tt0436058, American Pie Presents: Band Camp,10000000,95
8275, tt0808146, American Pie Presents: The Naked Mile,15000000,0
8279, tt0869994, Paris,19000000,10250000
8285, tt0831887, The Spirit,60000000,81
8291, tt0107840, Poetic Justice,14000000,97
8293, tt0104454, Howards End,8000000,0
8332, tt0337573, Antibodies,1900000,222231186
8355, tt1080016, Ice Age: Dawn of the Dinosaurs,90000000,0
8356, tt0050105, An Affair to Remember,2100000,90
8358, tt0162222, Cast Away,90000000,118
8363, tt0829482, Superbad,20000000,117760134
8367, tt0102798, Robin Hood: Prince of Thieves,48000000,231449203
8373, tt1055369, Transformers: Revenge of the Fallen,200000000,0
8374, tt0144117, The Boondock Saints,6000000,115
8386, tt0278488, How High,12000000,0
8388, tt0092086, Â¡Three Amigos!,25000000,0
8392, tt0096283, My Neighbor Totoro,3700000,0
8393, tt0080801, The Gods Must Be Crazy,5000000,98
8398, tt0455960, The Hitcher,10000000,15856028
8452, tt0216216, The 6th Day,82000000,32511655
8453, tt0439662, Fanaa,5300000,78
8457, tt0817538, Drillbit Taylor,40000000,891133
8460, tt0278723, The Skulls II,3800000,104
8467, tt0109686, Dumb and Dumber,16000000,19844979
8470, tt0251160, John Q,36000000,0
8487, tt0120891, Wild Wild West,170000000,115
8488, tt0386588, Hitch,70000000,40239
8489, tt0248667, Ali,107000000,120
8491, tt0098627, Weekend at Bernie's,6500000,0
8494, tt0108539, Weekend at Bernie's II,7000000,104
8512, tt0112857, Devil in a Blue Dress,27000000,113
8536, tt0081573, Superman II,54000000,0
8584, tt0184894, Shanghai Noon,55000000,81
8587, tt0110357, The Lion King,45000000,26673242
8592, tt0099422, Dick Tracy,47000000,92
8618, tt0464049, The History Boys,4000000,105
8619, tt0311113, Master and Commander: The Far Side of the World,150000000,0
8643, tt0404032, The Exorcism of Emily Rose,19000000,120
8645, tt0949731, The Happening,60000000,98
8649, tt0163988, Bringing Out the Dead,32000000,82
8653, tt0255589, The Isle,50000,118
8665, tt0267626, K-19: The Widowmaker,100000000,115
8675, tt0124819, Orgazmo,1000000,150
8676, tt0770752, Fool's Gold,70000000,4865997
8681, tt0936501, Taken,25000000,180
8688, tt0120832, Snake Eyes,73000000,109
8689, tt0078935, Cannibal Holocaust,100000,102244770
8764, tt0088286, Top Secret!,9000000,190458706
